,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STATEMENT OF RECEIPTS AND EXPENDITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,by LGU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY 2025-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In Php Million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, REGION , PROVINCE , LGU NAME , LGU TYPE , CURRENT OPERATING INCOME ,,,,,,,,,,,,,,,,,,, TOTAL CURRENT OPERATING EXPENDITURES ,,,,,,,,, NET OPERATING INCOME/ (LOSS) FROM CURRENT OPERATIONS , NON-INCOME RECEIPTS ,,,,,,,,, NON-OPERATING EXPENDITURES ,,,,,,,,, NET INCREASE/ (DECREASE) IN FUNDS ," ADD: CASH BALANCE, BEGINNING ", FUND/ CASH AVAILABLE , Less: Payment of Prior Year/s Accounts Payable , CONTINUING  APPROPRIATION ," FUND/ CASH BALANCE, END "
,,,,, LOCAL SOURCES ,,,,,,,,,,,, EXTERNAL SOURCES ,,,,, TOTAL CURRENT OPERATING INCOME , GENERAL PUBLIC SERVICES ,SOCIAL SERVICES,,,,,,ECONOMIC SERVICES, DEBT SERVICE (Interest Expense & Other Charges) , TOTAL CURRENT OPERATING EXPENDITURES ,, CAPITAL/ INVESTMENT RECEIPTS ,,,, RECEIPTS FROM LOANS AND BORROWINGS ,,, Other Non-Income Receipts , TOTAL NON-INCOME RECEIPTS , CAPITAL/ INVESTMENT EXPENDITURES ,,,, DEBT SERVICE (Principal Cost) ,,, Other Non-Operating Expenditures , TOTAL NON-OPERATING EXPENDITURES ,,,,,,
,,,,, TAX REVENUE ,,,,,, NON-TAX REVENUE ,,,,, TOTAL LOCAL SOURCES , National Tax Allotment , Other Shares from National Tax Collection , Inter-Local Transfers , Extraordinary Receipts/ Grants/ Donations/ Aids , TOTAL EXTERNAL SOURCES ,,,,,,,,,,,,, Proceeds from Sale of Assets , Proceeds from Sale of Debt Securities of Other Entities , Collection of Loans Receivables , TOTAL CAPITAL/INVESTMENT RECEIPTS , Acquisition of Loans , Issuance of Bonds , TOTAL RECEIPTS FROM LOANS AND BORROWINGS ,,, Purchase/ Construct of Property Plant and Equipment  (Assets/ Capital Outlay) , Purchase of Debt Securities of Other Entities (Investment Outlay) , Grant/ Make Loan to Other Entities (Investment Outlay) , TOTAL CAPITAL/ INVESTMENT EXPENDITURES , Payment of Loan Amortization , Retirement/ Redemption of Bonds/ Debt Securities , TOTAL DEBT SERVICE (Principal Cost) ,,,,,,,,
,,,,, Real Property Tax ,,, Tax on Business , Other Taxes , Total Tax Revenue , Regulatory Fees , Service/ User Charges , Receipts from Economic Enterprises , Other Receipts , Total Non-Tax Revenue ,,,,,,,,," Education, Culture & Sports/ Manpower Development "," Health, Nutrition & Population Control ", Labor and Employment , Housing and Community Development , Social Services and Social Welfare , TOTAL SOCIAL SERVICES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, General Fund , Special Education Fund , Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAR,Abra,Abra,Province,5.38,7.64,13.01,1.64,2.44,17.09,0.66,55.33,0.00,0.57,56.57,73.66,"1,377.20",0.09,0.00,0.00,"1,377.29","1,450.95",279.02,91.16,262.54,0.40,0.00,11.42,365.52,150.16,6.25,800.96,649.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.92,538.56,0.00,0.00,538.56,39.93,0.00,39.93,0.00,578.49,72.41,"1,313.21","1,385.62",21.66,518.16,845.80
,CAR,Apayao,Apayao,Province,2.58,3.69,6.27,6.23,0.47,12.97,4.20,72.80,33.73,4.21,114.94,127.91,"1,264.94",0.01,0.82,0.10,"1,265.87","1,393.78",249.94,57.80,98.15,0.00,0.00,43.87,199.82,85.13,0.00,534.88,858.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.13,63.13,23.14,0.00,0.00,23.14,0.00,0.00,0.00,0.00,23.14,898.89,"1,426.41","2,325.30",196.95,83.03,"2,045.32"
,CAR,Benguet,Benguet,Province,41.64,43.66,85.29,3.75,28.18,117.23,1.28,86.47,302.59,7.59,397.93,515.16,"1,401.95",34.53,0.00,0.00,"1,436.48","1,951.64",407.44,31.51,191.86,0.00,0.00,48.74,272.10,406.78,0.00,"1,086.32",865.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131.46,0.00,0.00,131.46,0.00,0.00,0.00,0.00,131.46,733.87,"1,112.83","1,846.70",267.71,28.36,"1,550.63"
,CAR,Ifugao,Ifugao,Province,11.52,10.96,22.48,2.98,1.32,26.78,1.18,189.30,0.00,1.13,191.60,218.38,"1,116.21",0.47,0.00,0.00,"1,116.68","1,335.06",241.30,8.37,271.13,0.00,0.00,11.68,291.17,69.18,23.26,624.92,710.14,0.00,0.00,0.00,0.00,43.05,0.00,43.05,0.71,43.75,82.06,0.00,0.00,82.06,29.88,0.00,29.88,0.00,111.94,641.95,"1,209.94","1,851.89",0.00,163.16,"1,688.74"
,CAR,Kalinga,Kalinga,Province,0.67,0.94,1.61,8.45,1.63,11.70,8.48,225.64,0.00,5.72,239.84,251.54,"1,222.11",0.03,0.00,0.34,"1,222.48","1,474.02",314.58,0.00,318.65,0.00,0.00,20.59,339.24,76.90,32.74,763.47,710.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.14,49.42,0.00,49.42,0.00,49.55,661.00,898.74,"1,559.74",226.97,15.36,"1,317.41"
,CAR,Mountain Province,Mountain Province,Province,7.07,4.71,11.78,1.73,0.44,13.96,0.24,167.48,0.00,1.70,169.41,183.37,999.79,1.15,2.50,0.00,"1,003.44","1,186.81",220.38,9.29,243.73,0.00,0.00,54.57,307.59,159.18,39.36,726.51,460.30,0.00,0.00,0.00,0.00,74.90,0.00,74.90,15.08,89.98,50.32,0.00,0.00,50.32,92.60,0.00,92.60,0.00,142.92,407.35,307.00,714.35,129.44,23.50,561.41
,Region I,Ilocos Norte,Ilocos Norte,Province,78.27,112.65,190.93,12.86,5.77,209.55,16.05,192.16,0.00,22.15,230.35,439.91,"1,659.44",3.50,0.00,0.00,"1,662.94","2,102.85",365.86,100.60,412.03,0.00,0.00,50.87,563.50,142.30,55.51,"1,127.16",975.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.19,0.00,0.00,15.19,86.95,0.00,86.95,0.00,102.14,873.54,"3,689.90","4,563.44",0.00,514.96,"4,048.48"
,Region I,Ilocos Sur,Ilocos Sur,Province,18.82,26.91,45.74,234.53,5.23,285.50,17.01,515.52,0.00,44.99,577.51,863.01,"1,636.38",0.13,0.00,0.00,"1,636.51","2,499.52",439.09,26.30,451.11,0.00,0.00,235.01,712.42,351.46,0.00,"1,502.97",996.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,7.14,"1,049.90",0.00,0.00,"1,049.90",0.00,0.00,0.00,356.47,"1,406.37",-402.69,"7,956.21","7,553.53","1,123.83",316.20,"6,113.49"
,Region I,La Union,La Union,Province,51.15,73.07,124.22,9.69,15.80,149.71,16.48,28.71,256.77,24.06,326.03,475.73,"1,609.08",0.34,0.00,0.00,"1,609.42","2,085.15",373.61,48.50,168.83,0.00,0.00,92.46,309.79,276.32,9.63,969.36,"1,115.80",0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.46,6.46,8.69,0.00,0.00,8.69,29.04,0.00,29.04,2.39,40.12,"1,082.14","3,672.37","4,754.51",371.61,20.71,"4,362.19"
,Region I,Pangasinan,Pangasinan,Province,183.94,269.85,453.79,190.67,149.62,794.08,37.67,524.39,0.00,12.42,574.48,"1,368.56","4,424.99",3.85,0.00,0.65,"4,429.49","5,798.05",759.88,349.39,"1,521.46",6.03,9.19,87.54,"1,973.62",202.50,30.73,"2,966.74","2,831.31",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,390.48,0.00,0.00,390.48,190.73,0.00,190.73,0.00,581.21,"2,250.10","5,006.73","7,256.82",7.41,16.62,"7,232.79"
